entry_date,exit_date,side,strike,qty,entry_price,exit_price,holding_days,entry_reason,exit_reason,realized_pnl
2021-05-07,2021-05-10,LONG_VOL,14800,50,404.19878379874353,745.3828590503235,3,IV below RV forecast,vol spread mean reversion,15923.083630775007
2021-05-24,2021-05-28,LONG_VOL,15200,100,285.48902258823,567.2082775734252,4,IV below RV forecast,vol spread mean reversion,23765.406234400987
2021-06-02,2021-06-03,SHORT_VOL,15600,50,848.8893130201559,553.800169512423,1,IV above RV forecast,vol spread mean reversion,15014.65106619497
2021-06-25,2021-06-29,SHORT_VOL,15850,50,855.2571280059346,263.1101372866142,4,IV above RV forecast,vol spread mean reversion,28970.77851705895
2021-07-02,2021-07-09,SHORT_VOL,15700,50,772.482635478983,238.1171011916722,7,IV above RV forecast,max holding period,26434.649831286275
2021-07-26,2021-08-02,SHORT_VOL,15800,50,1099.6187352016996,271.6231795369931,7,IV above RV forecast,max holding period,41553.714453683555
2021-08-18,2021-08-25,SHORT_VOL,16550,50,933.7646923035827,273.74143792642644,7,IV above RV forecast,max holding period,33198.40256769895
2021-08-30,2021-09-06,SHORT_VOL,16950,50,991.7577863430206,660.6315018529403,7,IV above RV forecast,max holding period,18002.06002992788
2021-09-20,2021-09-22,SHORT_VOL,17400,50,937.2872696729019,533.3405621535958,2,IV above RV forecast,vol spread mean reversion,20684.910953513216
2021-09-24,2021-10-01,SHORT_VOL,17850,50,1010.2507955929004,920.8106185164215,7,IV above RV forecast,max holding period,2909.44547349975
2021-10-01,2021-10-08,SHORT_VOL,17550,50,1089.9729245940016,1079.9970728870985,7,IV above RV forecast,max holding period,1612.5444341179775
2021-10-08,2021-10-18,SHORT_VOL,17900,50,1274.6404178059602,628.3133837201669,10,IV above RV forecast,max holding period,34407.96712967959
2021-10-26,2021-11-02,SHORT_VOL,18250,50,1073.4500139890079,371.1459782843367,7,IV above RV forecast,max holding period,33184.570392198526
2021-11-02,2021-11-09,LONG_VOL,17900,50,335.4082235586384,723.1120790415434,7,IV below RV forecast,max holding period,18011.70746743324
2021-11-10,2021-11-17,LONG_VOL,18000,50,341.94173323015366,757.5037293310197,7,IV below RV forecast,max holding period,21878.25919991842
2021-11-18,2021-11-25,SHORT_VOL,17750,50,1178.6438399131175,618.1385464683999,7,IV above RV forecast,vol spread mean reversion,26842.678268314194
2021-11-29,2021-12-01,LONG_VOL,17050,50,451.382265047072,757.6815498415417,2,IV below RV forecast,vol spread mean reversion,14388.873665997098
2021-12-02,2021-12-06,SHORT_VOL,17400,50,1608.9332555769688,838.6087385039946,4,IV above RV forecast,vol spread mean reversion,36318.00253810341
2021-12-08,2021-12-15,LONG_VOL,17450,50,422.2655150893661,535.8600839785877,7,IV below RV forecast,max holding period,7718.2372044192
2021-12-16,2021-12-23,LONG_VOL,17250,50,324.17058879995693,631.8243899072822,7,IV below RV forecast,max holding period,16808.377644481723
2021-12-24,2021-12-31,LONG_VOL,17000,50,320.44477675410417,1036.9798871213543,7,IV below RV forecast,max holding period,32370.88976010757
2021-12-31,2022-01-04,SHORT_VOL,17350,50,1217.0765680299974,807.1831345700148,4,IV above RV forecast,vol spread mean reversion,22173.060447449865
2022-01-07,2022-01-14,SHORT_VOL,17800,50,1342.0502985718294,674.571385386082,7,IV above RV forecast,vol spread mean reversion,35091.68207275443
2022-02-08,2022-02-15,SHORT_VOL,17250,50,1460.5347230395628,1079.0312721095206,7,IV above RV forecast,max holding period,19227.578377860096
2022-02-18,2022-02-25,LONG_VOL,17300,50,568.7917477167521,1116.4523260012784,7,IV below RV forecast,vol spread mean reversion,29901.942001678457
2022-03-08,2022-03-11,SHORT_VOL,16000,50,1601.9249844982141,1236.7754303229294,3,IV above RV forecast,vol spread mean reversion,20701.464588769388
2022-03-16,2022-03-23,LONG_VOL,17000,50,598.495092135222,1173.175024868422,7,IV below RV forecast,max holding period,27469.938688002683
2022-04-01,2022-04-08,SHORT_VOL,17650,50,1589.978520535209,993.7796535789175,7,IV above RV forecast,max holding period,30088.151272534004
2022-04-26,2022-05-04,SHORT_VOL,17200,50,1535.0465255442214,594.3223389133468,8,IV above RV forecast,max holding period,44743.29776259171
2022-05-10,2022-05-16,LONG_VOL,16250,50,436.0021663976768,705.6981095883366,6,IV below RV forecast,vol spread mean reversion,15700.376760645222
2022-05-19,2022-05-23,LONG_VOL,15800,50,340.1858114626375,943.1084938521526,4,IV below RV forecast,vol spread mean reversion,26389.99878252842
2022-05-25,2022-05-30,SHORT_VOL,16050,50,1449.8700088035375,1079.9666602085717,5,IV above RV forecast,vol spread mean reversion,20499.27478696914
2022-05-31,2022-06-07,LONG_VOL,16600,50,560.0478865863242,956.370257866748,7,IV below RV forecast,max holding period,20458.094710198384
2022-07-01,2022-07-08,SHORT_VOL,15750,50,1161.9263097588655,897.6562985095434,7,IV above RV forecast,max holding period,14930.941626769467
2022-07-11,2022-07-14,LONG_VOL,16200,50,307.8584277674445,569.7933976747909,3,IV below RV forecast,vol spread mean reversion,15922.362770664055
2022-08-25,2022-09-01,LONG_VOL,17500,50,333.6909964941242,275.4195537410578,7,IV below RV forecast,max holding period,-3264.7216275547053
2022-09-01,2022-09-02,LONG_VOL,17550,50,328.85045178205564,737.3624745662983,1,IV below RV forecast,vol spread mean reversion,20315.11465885898
2022-09-07,2022-09-14,SHORT_VOL,17600,50,1090.035760656766,584.4674602162663,7,IV above RV forecast,max holding period,26947.193978671574
2022-09-16,2022-09-23,LONG_VOL,17550,50,326.99778682312353,485.73146494167486,7,IV below RV forecast,max holding period,9285.406283932814
2022-09-30,2022-10-07,LONG_VOL,17100,50,320.6474498116213,396.0602716815629,7,IV below RV forecast,max holding period,1794.328020256788
2022-10-07,2022-10-12,LONG_VOL,17300,50,410.20211187402856,685.1988333529907,5,IV below RV forecast,vol spread mean reversion,15234.07882607169
2022-10-17,2022-10-21,SHORT_VOL,17300,50,1294.119526125265,749.9585239064654,4,IV above RV forecast,vol spread mean reversion,28156.751459904124
2022-10-24,2022-10-31,SHORT_VOL,17750,50,1138.9177138941304,1179.7620899473886,7,IV above RV forecast,max holding period,-1244.8595732510348
2022-10-31,2022-11-07,SHORT_VOL,18000,50,1420.9380853298571,418.61589340264254,7,IV above RV forecast,max holding period,50758.2329394692
2022-11-22,2022-11-25,SHORT_VOL,18250,50,1127.9225751442827,653.3137766809086,3,IV above RV forecast,vol spread mean reversion,24628.35390038824
2022-12-08,2022-12-15,SHORT_VOL,18600,50,1393.0010289529782,500.87081803761885,7,IV above RV forecast,vol spread mean reversion,43616.1193537768
2023-01-02,2023-01-09,LONG_VOL,18200,50,341.8711519350845,858.4617448549634,7,IV below RV forecast,max holding period,26521.167480014105
2023-01-11,2023-01-18,LONG_VOL,17900,50,335.9241230303569,546.8034266511968,7,IV below RV forecast,max holding period,8092.633596092942
2023-02-03,2023-02-09,SHORT_VOL,17850,50,1260.766693247624,542.5341983373592,6,IV above RV forecast,vol spread mean reversion,35909.032379455806
2023-02-10,2023-02-13,SHORT_VOL,17850,50,1063.032745412107,555.5472087228954,3,IV above RV forecast,vol spread mean reversion,24849.779144775457
2023-02-14,2023-02-20,SHORT_VOL,17950,50,1088.190218188749,560.7935865211803,6,IV above RV forecast,vol spread mean reversion,25918.543851174865
2023-03-24,2023-03-31,SHORT_VOL,16950,50,1287.1666306861853,487.65513451989887,7,IV above RV forecast,max holding period,41419.04076050066
2023-03-31,2023-04-10,LONG_VOL,17350,50,328.1884432708721,538.8646319061263,10,IV below RV forecast,vol spread mean reversion,7765.941923344966
2023-05-04,2023-05-11,SHORT_VOL,18250,50,930.8300729111543,287.81544214449696,7,IV above RV forecast,max holding period,32214.734964016472
2023-05-16,2023-05-19,SHORT_VOL,18300,50,1173.838144581654,417.69985817242014,3,IV above RV forecast,vol spread mean reversion,37351.962486306824
2023-05-22,2023-05-24,SHORT_VOL,18300,50,1027.116056911671,478.11958027766013,2,IV above RV forecast,vol spread mean reversion,27167.092867326955
2023-05-25,2023-06-01,SHORT_VOL,18300,50,1112.837191910563,576.4249816377869,7,IV above RV forecast,max holding period,27447.561249641778
2023-06-08,2023-06-15,SHORT_VOL,18650,50,809.5994383593552,559.669621125563,7,IV above RV forecast,max holding period,12584.411837123138
2023-07-04,2023-07-05,SHORT_VOL,19400,50,951.4129823593012,490.37460834211015,1,IV above RV forecast,vol spread mean reversion,22950.920894717532
2023-07-14,2023-07-21,SHORT_VOL,19550,50,932.2905374164857,660.2100620091624,7,IV above RV forecast,max holding period,14350.787392851375
2023-08-04,2023-08-11,SHORT_VOL,19500,50,1328.9006672632404,292.397194956322,7,IV above RV forecast,max holding period,51275.46242718594
